title,score,director,genre
a christmas prince,3.550829875518672,alex zamm,"children & family movies, dramas, romantic movies"
a christmas prince: the royal baby,3.5133630289532296,john schultz,"children & family movies, dramas, romantic movies"
a christmas prince: the royal wedding,3.5,john schultz,"children & family movies, dramas, romantic movies"
a christmas princess,3.509453781512605,fred olen ray,"comedy, romance"
a christmas special: miraculous: tales of ladybug & cat noir,3.427536231884058,thomas astruc,movies
a cinderella story,3.5415800415800414,mark rosman,"children & family movies, comedies"
a cinderella story: christmas wish,3.5349514563106794,michelle johnston,"children & family movies, comedies, music & musicals"
a class apart,3.5439672801635993,"peter miller, carlos sandoval",documentary
a classic horror story,3.55360824742268,"roberto de feo, paolo strippoli","horror movies, international movies"
a clockwork orange,3.5783664459161146,stanley kubrick,"classic movies, cult movies, dramas"
a company of heroes,3.518329938900204,tim gray,documentary
a country christmas,3.5813492063492065,customflix,kids
a cowgirl's story,3.5560640732265445,timothy armstrong,"comedy, drama"
a dangerous man,3.4928861788617884,keoni waxman,"action, drama"
a dangerous woman,3.4839034205231387,stephen gyllenhaal,"dramas, romantic movies"
a date with murder,3.5518672199170123,rex piano,"drama, suspense"
a deadly legend,3.4948665297741273,pamela moriarty,"action, horror, suspense"
a death in the gunj,3.454646017699115,konkona sensharma,drama
a different kind of christmas,3.5413135593220337,tom mcloughlin,drama
a different loyalty,3.4875259875259874,marek kanievska,"drama, romance, suspense"
a distant place,3.445533769063181,joseph novoa,"drama, romance"
a dog barking at the moon,3.431289640591966,lisa zi xiang,"drama, lgbtq, suspense"
a dog's courage,3.549256505576208,sung-yoon lee,"action, kids"
a dot and a line,3.5628803245436105,elia k. schneider,"action, drama"
a fairly odd summer,3.5552016985138004,savage steve holland,"children & family movies, comedies"
a fall from grace,3.4835051546391753,tyler perry,"dramas, thrillers"
a familiar lie,3.5588235294117645,andre roberson,"drama, suspense"
a family,3.5454545454545454,michihito fujii,"dramas, international movies"
a family affair,3.5485537190082646,tom fassaert,"documentaries, international movies"
a family man,3.48989898989899,mark williams,drama
a family reunion christmas,3.5172744721689058,robbie countryman,"children & family movies, comedies"
a faraway land,3.538702928870293,veronica velasco,"dramas, international movies, romantic movies"
a farewell to arms,3.506237006237006,frank borzage,"drama, military and war"
a fatal inversion,3.562634989200864,tim fywell,drama
a father's son,3.591764705882353,michael landon jr.,"drama, horror"
a fighting man,3.5141129032258065,damian lee,"action, drama"
a fine step,3.5835051546391754,jonathan meyers,drama
a first farewell,3.6363636363636362,wang lina,"arthouse, drama, kids"
a flying jatt,3.5309734513274336,remo d'souza,"action & adventure, international movies, sci-fi & fantasy"
a flying princess and a secret island (dubbed),3.5158898305084745,shinpei miyashita,"anime, kids"
a flying princess and a secret island (subbed),3.54149377593361,shinpei miyashita,"anime, kids"
a fortunate man,3.543956043956044,bille august,"dramas, international movies"
a friendship,3.610997963340122,abu nizam,"drama, romance"
a futile and stupid gesture,3.509183673469388,david wain,comedies
a ghost story,3.5693877551020408,david lowery,"dramas, independent movies"
a girl like grace,3.538702928870293,ty hodges,"drama, young adult audience"
a girl like her,3.445436507936508,amy s. weber,drama
a girl of the limberlost,3.527542372881356,burt brinckerhoff,"drama, kids"
a girl's best friend,3.5767634854771786,terry ingram,"action, kids"
